"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,";"buzzardLabel";32;"";;;
2;"R2";"0402R";1;"2k2";;;
3;"G***";"Logo-Back-OSH-3.5mm";1;"LOGO";;;
4;"C1,C2";"0603C";2;"22pF";;;
5;"C3,C5";"0603C";2;"2.2uF";;;
6;"JP1";"SMD_JUMPER";1;"SMD_JUMPER";;;
7;"H2,H1";"HOLE_3.2mm";2;"HOLE_3.2mm";;;
8;"U3";"SOIC−8";1;"ATA6561-GAQW-N";;;
9;"G***";"Logo-Front-Soldered-5mm";1;"LOGO";;;
10;"X1";"KRISTAL_3225__4_PAD";1;"40MHz";;;
11;"C6,C4";"0603C";2;"0.1uF";;;
12;"D1";"0402LED";1;"purple";;;
13;"U2";"SOIC-14";1;"MCP2518FDT-E/SL";;;
14;"K3";"TERMINAL_KF235-5.0-2P";1;"TERMINAL_KF235-5.0-2P";;;
15;"REF**";"Logo-Back-SolderedFULL-13mm";1;"Logo-Front-SolderedFULL-13mm";;;
16;"FD1";"FIDUCIAL_23";1;"FIDUCIAL";;;
17;"JP2";"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";1;"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";;;
18;"U1";"SOT-23-5";1;"SE5218";;;
19;"R1";"0603R";1;"120R";;;
20;"K2,K1";"HEADER_MALE_6X1";2;"HEADER_MALE_6X1";;;
21;"REF**";"Version1.1.1.";1;"Version1.1.1.";;;
